"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","0.7247925","0.0002"
"0.01","0.7311503","0.001533333"
"0.02","0.7351239","0.0033"
"0.03","0.7653236","0.005033333"
"0.04","0.8877118","0.006666667"
"0.05","1.143614","0.008366667"
"0.06","1.499653","0.01006667"
"0.07","1.941522","0.01176667"
"0.08","2.516906","0.01343333"
"0.09","3.242493","0.0151"
"0.1","4.056295","0.01676667"
"0.11","4.905065","0.01843333"
"0.12","5.768935","0.0201"
"0.13","6.635984","0.0218"
"0.14","7.496675","0.02346667"
"0.15","8.358161","0.02513333"
"0.16","9.224415","0.02676667"
"0.17","10.09464","0.02846667"
"0.18","10.95931","0.0301"
"0.19","11.81444","0.03176667"
"0.2","12.66956","0.03346667"
"0.21","13.53264","0.0351"
"0.22","14.40366","0.03676667"
"0.23","15.27468","0.03846667"
"0.24","16.15047","0.04013333"
"0.25","17.02944","0.0418"
"0.26","17.90762","0.04346667"
"0.27","18.78023","0.04513333"
"0.28","19.65602","0.04676667"
"0.29","20.54294","0.04843333"
"0.3","21.43383","0.05013333"
"0.31","22.31916","0.0518"
"0.32","23.19256","0.05346667"
"0.33","24.0612","0.05513334"
"0.34","24.9362","0.0568"
"0.35","25.82073","0.05843334"
"0.36","26.70129","0.0601"
"0.37","27.5747","0.0618"
"0.38","28.44254","0.06346667"
"0.39","29.30562","0.06513333"
"0.4","30.16472","0.0668"
"0.41","31.02938","0.06846667"
"0.42","31.89643","0.07013334"
"0.43","32.75156","0.0718"
"0.44","33.59","0.07346667"
"0.45","34.42844","0.07513333"
"0.46","35.278","0.0768"
"0.47","36.13074","0.07846667"
"0.48","36.9819","0.08013333"
"0.49","37.83226","0.0818"
"0.5","38.68977","0.08346666"
"0.51","39.55046","0.08513334"
"0.52","40.40956","0.08676667"
"0.53","41.26072","0.08846667"
"0.54","42.10075","0.09013333"
"0.55","42.9376","0.09176667"
"0.56","43.77763","0.09346667"
"0.57","44.61686","0.09513333"
"0.58","45.45132","0.0968"
"0.59","46.28817","0.09846666"
"0.6","47.12979","0.1001333"
"0.61","47.96664","0.1018"
"0.62","48.79951","0.1034333"
"0.63","49.63716","0.1051333"
"0.64","50.48434","0.1068"
"0.65","51.3339","0.1084667"
"0.66","52.17552","0.1101333"
"0.67","53.0084","0.1118333"
"0.68","53.84286","0.1134667"
"0.69","54.68369","0.1151"
"0.7","55.5261","0.1168"
"0.71","56.35897","0.1184667"
"0.72","57.18629","0.1201333"
"0.73","58.01916","0.1218"
"0.74","58.85442","0.1234667"
"0.75","59.67855","0.1251333"
"0.76","60.50189","0.1268"
"0.77","61.33874","0.1284667"
"0.78","62.17559","0.1301"
"0.79","62.99098","0.1317667"
"0.8","63.79763","0.1334667"
"0.81","64.62335","0.1351333"
"0.82","65.46179","0.1368"
"0.83","66.28831","0.1384667"
"0.84","67.1045","0.1401333"
"0.85","67.92704","0.1418"
"0.86","68.76071","0.1434667"
"0.87","69.58485","0.1451333"
"0.88","70.39706","0.1468"
"0.89","71.21802","0.1484667"
