"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","1.09752","0.0002"
"0.01","1.096725","0.001566667"
"0.02","1.09911","0.0033"
"0.03","1.140436","0.005"
"0.04","1.282692","0.006666667"
"0.05","1.564821","0.008333334"
"0.06","1.970132","0.01003333"
"0.07","2.499421","0.01173333"
"0.08","3.201167","0.0134"
"0.09","4.082521","0.01506667"
"0.1","5.073547","0.01676667"
"0.11","6.104311","0.01843333"
"0.12","7.148584","0.02006667"
"0.13","8.200009","0.02176667"
"0.14","9.249051","0.02343333"
"0.15","10.29015","0.0251"
"0.16","11.32568","0.02676667"
"0.17","12.3628","0.02843333"
"0.18","13.39912","0.0301"
"0.19","14.43227","0.03173333"
"0.2","15.45668","0.03343333"
"0.21","16.47393","0.0351"
"0.22","17.49198","0.03676667"
"0.23","18.52433","0.03843333"
"0.24","19.56542","0.0401"
"0.25","20.60095","0.04176667"
"0.26","21.63331","0.04346667"
"0.27","22.67122","0.04513333"
"0.28","23.72344","0.04676667"
"0.29","24.77884","0.04843333"
"0.3","25.82868","0.0501"
"0.31","26.8658","0.0518"
"0.32","27.89179","0.05343333"
"0.33","28.91858","0.0551"
"0.34","29.94935","0.05676667"
"0.35","30.97614","0.05843334"
"0.36","31.99975","0.06006667"
"0.37","33.02415","0.06176667"
"0.38","34.04697","0.06343333"
"0.39","35.06343","0.0651"
"0.4","36.07909","0.0668"
"0.41","37.09555","0.06843334"
"0.42","38.10644","0.0701"
"0.43","39.10462","0.07176667"
"0.44","40.09883","0.07343333"
"0.45","41.09859","0.0751"
"0.46","42.09836","0.07676667"
"0.47","43.08621","0.07846667"
"0.48","44.06452","0.08013333"
"0.49","45.04363","0.0818"
"0.5","46.0275","0.08346666"
"0.51","47.01376","0.08513334"
"0.52","47.99128","0.08676667"
"0.53","48.9672","0.08843333"
"0.54","49.95425","0.0901"
"0.55","50.94051","0.09176667"
"0.56","51.91405","0.09343334"
"0.57","52.87965","0.09513333"
"0.58","53.85081","0.0968"
"0.59","54.82197","0.09846666"
"0.6","55.78439","0.1001333"
"0.61","56.74044","0.1017667"
"0.62","57.70047","0.1034333"
"0.63","58.66925","0.1051"
"0.64","59.63485","0.1068"
"0.65","60.59408","0.1084667"
"0.66","61.54935","0.1101333"
"0.67","62.51097","0.1118"
"0.68","63.4702","0.1134667"
"0.69","64.41514","0.1151"
"0.7","65.3553","0.1168"
"0.71","66.29706","0.1184667"
"0.72","67.24358","0.1201"
"0.73","68.19248","0.1218"
"0.74","69.14377","0.1234667"
"0.75","70.09824","0.1251"
"0.76","71.05192","0.1267667"
"0.77","71.99844","0.1284333"
"0.78","72.93145","0.1301"
"0.79","73.8581","0.1317667"
"0.8","74.7943","0.1334667"
"0.81","75.74638","0.1351333"
"0.82","76.70959","0.1367667"
"0.83","77.6728","0.1384667"
"0.84","78.63203","0.1401333"
"0.85","79.58253","0.1418"
"0.86","80.52349","0.1434667"
"0.87","81.45889","0.1451333"
"0.88","82.39746","0.1467667"
"0.89","83.33444","0.1484667"
"0.9","84.26508","0.1501333"
"0.91","85.19888","0.1518"
"0.92","86.14222","0.1534333"
"0.93","87.09113","0.1551"
"0.94","88.03368","0.1567667"
"0.95","88.9651","0.1584333"
"0.96","89.8997","0.1601"
"0.97","90.84383","0.1618"
"0.98","91.79115","0.1634667"
"0.99","92.73767","0.1651333"
"1","93.68976","0.1668"
"1.01","94.65297","0.1684667"
"1.02","95.61618","0.1701"
"1.03","96.57462","0.1717667"
"1.04","97.52671","0.1734333"
"1.05","98.48277","0.1751"
"1.06","99.43883","0.1768"
"1.07","100.3917","0.1784667"
"1.08","101.339","0.1801333"
"1.09","102.2832","0.1817667"
"1.1","103.2225","0.1834667"
"1.11","104.1571","0.1851"
"1.12","105.0878","0.1867667"
"1.13","106.0184","0.1884333"
"1.14","106.945","0.1901333"
"1.15","107.8693","0.1917667"
"1.16","108.792","0.1934333"
"1.17","109.7123","0.1951333"
"1.18","110.6238","0.1967667"
"1.19","111.5346","0.1984333"
"1.2","112.4462","0.2001333"
"1.21","113.3521","0.2017667"
"1.22","114.2502","0.2034333"
"1.23","115.1482","0.2051333"
"1.24","116.0502","0.2068"
"1.25","116.9499","0.2084667"
"1.26","117.8479","0.2101333"
"1.27","118.7515","0.2118"
"1.28","119.6504","0.2134333"
"1.29","120.5397","0.2151"
"1.3","121.425","0.2167667"
"1.31","122.3111","0.2184333"
"1.32","123.1941","0.2201"
"1.33","124.0714","0.2217667"
"1.34","124.9512","0.2234333"
"1.35","125.8413","0.2251"
"1.36","126.7393","0.2267667"
"1.37","127.6406","0.2284667"
"1.38","128.5362","0.2301"
"1.39","129.4239","0.2318"
"1.4","130.3164","0.2334667"
"1.41","131.216","0.2351"
"1.42","132.1157","0.2367667"
"1.43","133.0145","0.2384667"
"1.44","133.9205","0.2401333"
"1.45","134.8265","0.2417667"
"1.46","135.7214","0.2434667"
"1.47","136.6131","0.2451333"
"1.48","137.5119","0.2468"
"1.49","138.4131","0.2484333"
"1.5","139.3032","0.2501333"
"1.51","140.1885","0.2518"
"1.52","141.0739","0.2534333"
"1.53","141.9544","0.2551333"
"1.54","142.8254","0.2567667"
"1.55","143.6981","0.2584333"
"1.56","144.5802","0.2601"
"1.57","145.4679","0.2618"
"1.58","146.3548","0.2634333"
"1.59","147.2354","0.2651334"
"1.6","148.1199","0.2668"
"1.61","149.014","0.2684667"
"1.62","149.9065","0.2701"
"1.63","150.7934","0.2718"
"1.64","151.6787","0.2734667"
"1.65","152.5688","0.2751333"
"1.66","153.4565","0.2768"
"1.67","154.3442","0.2784667"
"1.68","155.2399","0.2801"
"1.69","156.1379","0.2817333"
"1.7","157.0217","0.2834333"
"1.71","157.8903","0.2851"
"1.72","158.7598","0.2867667"
"1.73","159.6483","0.2884667"
"1.74","160.5439","0.2901"
"1.75","161.4332","0.2917667"
"1.76","162.3225","0.2934333"
"1.77","163.2182","0.2951"
"1.78","164.121","0.2967667"
"1.79","165.0246","0.2984333"
"1.8","165.9203","0.3001333"
"1.81","166.8103","0.3018"
"1.82","167.702","0.3034333"
"1.83","168.5898","0.3051"
"1.84","169.4727","0.3068"
"1.85","170.3533","0.3084333"
"1.86","171.2378","0.3101333"
"1.87","172.1183","0.3118"
"1.88","172.9949","0.3134667"
"1.89","173.8747","0.3151333"
"1.9","174.7584","0.3168"
"1.91","175.6318","0.3184333"
"1.92","176.4941","0.3201"
"1.93","177.3556","0.3217667"
"1.94","178.225","0.3234333"
"1.95","179.0937","0.3251"
"1.96","179.9488","0.3267667"
"1.97","180.796","0.3284667"
"1.98","181.6424","0.3301333"
"1.99","182.4856","0.3318"
"2","183.3224","0.3334667"
"2.01","184.1625","0.3351333"
"2.02","185.0112","0.3367667"
"2.03","185.8664","0.3384333"
"2.04","186.7104","0.3401333"
"2.05","187.5353","0.3418"
"2.06","188.3634","0.3434667"
"2.07","189.2026","0.3451333"
"2.08","190.0411","0.3467667"
"2.09","190.8755","0.3484333"
"2.1","191.714","0.3501"
"2.11","192.5564","0.3517667"
"2.12","193.3893","0.3534333"
"2.13","194.2174","0.3551333"
"2.14","195.0534","0.3568"
"2.15","195.8982","0.3584667"
"2.16","196.743","0.3601"
"2.17","197.5759","0.3618"
"2.18","198.404","0.3634667"
"2.19","199.2337","0.3651"
"2.2","200.065","0.3668"
"2.21","200.8955","0.3684333"
"2.22","201.7252","0.3701"
"2.23","202.5644","0.3718"
"2.24","203.4148","0.3734667"
"2.25","204.2572","0.3751333"
