"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","0.5443891","0.0001666667"
"0.01","0.5443891","0.0015"
"0.02","0.5404155","0.0033"
"0.03","0.5666415","0.005"
"0.04","0.6651878","0.006666667"
"0.05","0.8591016","0.008366667"
"0.06","1.129309","0.01006667"
"0.07","1.475016","0.01176667"
"0.08","1.927217","0.01343333"
"0.09","2.496243","0.0151"
"0.1","3.139973","0.01676667"
"0.11","3.813108","0.01843333"
"0.12","4.499753","0.0201"
"0.13","5.195936","0.02176667"
"0.14","5.892912","0.02346667"
"0.15","6.584326","0.02513333"
"0.16","7.281303","0.0268"
"0.17","7.985433","0.02846667"
"0.18","8.691152","0.0301"
"0.19","9.392898","0.03176667"
"0.2","10.10259","0.03346667"
"0.21","10.81864","0.0351"
"0.22","11.53231","0.03676667"
"0.23","12.242","0.03846667"
"0.24","12.95726","0.04013333"
"0.25","13.67966","0.0418"
"0.26","14.3973","0.04346667"
"0.27","15.107","0.04513333"
"0.28","15.82066","0.04676667"
"0.29","16.54704","0.04843333"
"0.3","17.27899","0.05013333"
"0.31","18.0014","0.0518"
"0.32","18.71506","0.05346667"
"0.33","19.4327","0.05513334"
"0.34","20.15273","0.0568"
"0.35","20.86639","0.05843334"
"0.36","21.56973","0.0601"
"0.37","22.27386","0.0618"
"0.38","22.98514","0.06346667"
"0.39","23.69324","0.06513333"
"0.4","24.39737","0.06683333"
"0.41","25.10707","0.06846667"
"0.42","25.82471","0.07013334"
"0.43","26.5336","0.0718"
"0.44","27.22581","0.07346667"
"0.45","27.91325","0.0751"
"0.46","28.60785","0.0768"
"0.47","29.30323","0.0785"
"0.48","29.99067","0.08013333"
"0.49","30.67175","0.0818"
"0.5","31.36078","0.08346666"
"0.51","32.06015","0.08513334"
"0.52","32.75156","0.08676667"
"0.53","33.42708","0.08846667"
"0.54","34.10737","0.0901"
"0.55","34.80275","0.09176667"
"0.56","35.49814","0.09343334"
"0.57","36.17923","0.09513333"
"0.58","36.85236","0.0968"
"0.59","37.52788","0.09846666"
"0.6","38.20817","0.1001333"
"0.61","38.88607","0.1018"
"0.62","39.56477","0.1034333"
"0.63","40.25142","0.1051333"
"0.64","40.94124","0.1068"
"0.65","41.61994","0.1084667"
"0.66","42.28274","0.1101667"
"0.67","42.94952","0.1118333"
"0.68","43.63696","0.1134667"
"0.69","44.32599","0.1151"
"0.7","44.99912","0.1168"
"0.71","45.66829","0.1184667"
"0.72","46.35255","0.1201333"
"0.73","47.0376","0.1218"
"0.74","47.70915","0.1234667"
"0.75","48.37592","0.1251333"
"0.76","49.05224","0.1268"
"0.77","49.73968","0.1284667"
"0.78","50.42315","0.1301"
"0.79","51.09866","0.1318"
"0.8","51.77975","0.1334667"
"0.81","52.46798","0.1351333"
"0.82","53.13873","0.1368"
"0.83","53.79121","0.1384667"
"0.84","54.4548","0.1401333"
"0.85","55.14939","0.1418"
"0.86","55.84717","0.1434667"
"0.87","56.5203","0.1451333"
"0.88","57.18231","0.1468"
"0.89","57.86419","0.1484667"
"0.9","58.55958","0.1501667"
"0.91","59.24384","0.1518"
"0.92","59.9138","0.1534333"
"0.93","60.59806","0.1551"
"0.94","61.29026","0.1567667"
"0.95","61.96499","0.1584333"
"0.96","62.62541","0.1601"
"0.97","63.3049","0.1618"
"0.98","64.01141","0.1634667"
"0.99","64.71555","0.1651333"
"1","65.41252","0.1668"
"1.01","66.11824","0.1684667"
"1.02","66.83508","0.1701"
"1.03","67.5424","0.1718"
"1.04","68.23142","0.1734667"
"1.05","68.92125","0.1751333"
"1.06","69.63253","0.1768"
"1.07","70.35097","0.1784667"
"1.08","71.05827","0.1801333"
"1.09","71.75287","0.1818"
"1.1","72.45143","0.1834667"
"1.11","73.15477","0.1851333"
"1.12","73.84777","0.1867667"
"1.13","74.53044","0.1884667"
"1.14","75.21867","0.1901333"
"1.15","75.91566","0.1917667"
"1.16","76.6023","0.1934667"
"1.17","77.27544","0.1951333"
"1.18","77.95493","0.1968"
"1.19","78.65429","0.1984667"
"1.2","79.35524","0.2001333"
"1.21","80.04109","0.2017667"
"1.22","80.72058","0.2034333"
"1.23","81.4112","0.2051333"
"1.24","82.10898","0.2068"
"1.25","82.79244","0.2084667"
"1.26","83.46637","0.2101333"
"1.27","84.14348","0.2118"
"1.28","84.82695","0.2134667"
"1.29","85.50246","0.2151"
"1.3","86.17083","0.2168"
"1.31","86.84396","0.2184667"
"1.32","87.52823","0.2201333"
"1.33","88.20772","0.2218"
"1.34","88.87926","0.2234667"
"1.35","89.55956","0.2251"
"1.36","90.25494","0.2267667"
"1.37","90.94874","0.2284667"
"1.38","91.62505","0.2301333"
"1.39","92.29263","0.2318"
"1.4","92.97371","0.2335"
"1.41","93.6683","0.2351333"
"1.42","94.35972","0.2368"
"1.43","95.04716","0.2384667"
"1.44","95.73698","0.2401333"
"1.45","96.42363","0.2418"
"1.46","97.10312","0.2434667"
"1.47","97.78341","0.2451667"
"1.48","98.47482","0.2468"
"1.49","99.17497","0.2484667"
"1.5","99.86798","0.2501333"
"1.51","100.5451","0.2518"
"1.52","101.2103","0.2534333"
"1.53","101.885","0.2551333"
"1.54","102.5764","0.2568"
"1.55","103.2734","0.2584333"
"1.56","103.9648","0.2601333"
"1.57","104.6475","0.2618"
"1.58","105.3206","0.2634667"
"1.59","105.9874","0.2651334"
"1.6","106.6629","0.2668"
"1.61","107.3511","0.2684667"
"1.62","108.0426","0.2701333"
"1.63","108.7276","0.2718"
"1.64","109.4119","0.2735"
"1.65","110.1009","0.2751333"
