"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","0.5427997","0.0002"
"0.01","0.5531311","0.001533333"
"0.02","0.5626678","0.0033"
"0.03","0.5873044","0.005033333"
"0.04","0.7017453","0.0067"
"0.05","0.9655952","0.008366667"
"0.06","1.352628","0.01006667"
"0.07","1.81516","0.01176667"
"0.08","2.391338","0.01343333"
"0.09","3.127257","0.0151"
"0.1","3.972054","0.01676667"
"0.11","4.84546","0.01843333"
"0.12","5.727609","0.0201"
"0.13","6.635189","0.0218"
"0.14","7.553895","0.02346667"
"0.15","8.458297","0.02513333"
"0.16","9.353955","0.0268"
"0.17","10.25359","0.02846667"
"0.18","11.15163","0.0301"
"0.19","12.04093","0.03176667"
"0.2","12.93262","0.03346667"
"0.21","13.83861","0.0351"
"0.22","14.75573","0.03676667"
"0.23","15.67205","0.03846667"
"0.24","16.58599","0.04013333"
"0.25","17.50072","0.0418"
"0.26","18.42022","0.04346667"
"0.27","19.3429","0.04513333"
"0.28","20.26558","0.04676667"
"0.29","21.19621","0.04843333"
"0.3","22.13637","0.05013333"
"0.31","23.067","0.0518"
"0.32","23.97299","0.05346667"
"0.33","24.8758","0.05513334"
"0.34","25.79769","0.0568"
"0.35","26.72831","0.05843334"
"0.36","27.64702","0.0601"
"0.37","28.55857","0.0618"
"0.38","29.47489","0.06346667"
"0.39","30.39757","0.06513333"
"0.4","31.31231","0.06683333"
"0.41","32.21591","0.06846667"
"0.42","33.11634","0.07013334"
"0.43","34.02233","0.0718"
"0.44","34.92594","0.07346667"
"0.45","35.81524","0.07513333"
"0.46","36.68864","0.0768"
"0.47","37.55808","0.0785"
"0.48","38.4299","0.08013333"
"0.49","39.30092","0.0818"
"0.5","40.17432","0.08346666"
"0.51","41.05806","0.08513334"
"0.52","41.95134","0.08676667"
"0.53","42.84143","0.08846667"
"0.54","43.71881","0.09013333"
"0.55","44.58984","0.09176667"
"0.56","45.46165","0.09343334"
"0.57","46.34063","0.09513333"
"0.58","47.21403","0.0968"
"0.59","48.07949","0.09846666"
"0.6","48.94416","0.1001333"
"0.61","49.81518","0.1018"
"0.62","50.687","0.1034333"
"0.63","51.55007","0.1051333"
"0.64","52.41076","0.1068"
"0.65","53.27781","0.1084667"
"0.66","54.14724","0.1101333"
"0.67","55.0127","0.1118333"
"0.68","55.87419","0.1134667"
"0.69","56.73329","0.1151"
"0.7","57.59557","0.1168"
"0.71","58.45547","0.1184667"
"0.72","59.3098","0.1201333"
"0.73","60.16095","0.1218"
"0.74","61.02244","0.1234667"
"0.75","61.89267","0.1251333"
"0.76","62.75018","0.1268"
"0.77","63.59498","0.1284667"
"0.78","64.44931","0.1301333"
"0.79","65.31318","0.1318"
"0.8","66.16751","0.1334667"
"0.81","67.00993","0.1351333"
"0.82","67.86346","0.1368"
"0.83","68.73846","0.1384667"
"0.84","69.60631","0.1401667"
"0.85","70.4503","0.1418"
"0.86","71.28557","0.1434667"
"0.87","72.13593","0.1451667"
"0.88","73.00139","0.1468"
"0.89","73.86843","0.1484667"
"0.9","74.73151","0.1501667"
"0.91","75.59299","0.1518"
"0.92","76.45369","0.1534667"
"0.93","77.30882","0.1551333"
"0.94","78.15917","0.1567667"
"0.95","79.00954","0.1584333"
"0.96","79.86704","0.1601"
"0.97","80.72774","0.1618"
"0.98","81.58763","0.1634667"
"0.99","82.45468","0.1651333"
"1","83.33127","0.1668"
"1.01","84.21182","0.1684667"
"1.02","85.0892","0.1701"
"1.03","85.96658","0.1718"
"1.04","86.84794","0.1734667"
"1.05","87.72929","0.1751333"
"1.06","88.60509","0.1768"
"1.07","89.4761","0.1784667"
"1.08","90.3511","0.1801333"
"1.09","91.23087","0.1818"
"1.1","92.11222","0.1834667"
"1.11","92.98563","0.1851333"
"1.12","93.84711","0.1867667"
"1.13","94.70304","0.1884667"
"1.14","95.56055","0.1901333"
"1.15","96.41965","0.1917667"
"1.16","97.27716","0.1934667"
"1.17","98.13547","0.1951333"
"1.18","98.99616","0.1968"
"1.19","99.85526","0.1984333"
"1.2","100.704","0.2001333"
"1.21","101.5425","0.2018"
"1.22","102.3769","0.2034333"
"1.23","103.2178","0.2051333"
"1.24","104.0634","0.2068"
"1.25","104.8994","0.2084667"
"1.26","105.7299","0.2101333"
"1.27","106.5683","0.2118333"
"1.28","107.4171","0.2134667"
"1.29","108.2619","0.2151"
"1.3","109.0964","0.2168"
"1.31","109.9292","0.2184667"
"1.32","110.7653","0.2201333"
"1.33","111.5998","0.2218"
"1.34","112.4358","0.2234667"
"1.35","113.2751","0.2251"
"1.36","114.1214","0.2267667"
"1.37","114.9607","0.2284667"
"1.38","115.7864","0.2301333"
"1.39","116.6113","0.2318"
"1.4","117.4569","0.2335"
"1.41","118.3184","0.2351333"
"1.42","119.1735","0.2368"
"1.43","120.012","0.2384667"
"1.44","120.8425","0.2401333"
"1.45","121.6714","0.2418"
"1.46","122.5011","0.2434667"
"1.47","123.3355","0.2451667"
"1.48","124.1779","0.2468"
"1.49","125.0235","0.2484667"
"1.5","125.8715","0.2501333"
"1.51","126.7123","0.2518"
"1.52","127.5452","0.2534333"
"1.53","128.3813","0.2551333"
"1.54","129.2221","0.2568"
"1.55","130.0605","0.2584667"
"1.56","130.8934","0.2601333"
"1.57","131.731","0.2618"
"1.58","132.5719","0.2634667"
"1.59","133.4031","0.2651334"
"1.6","134.2265","0.2668"
"1.61","135.0546","0.2684667"
"1.62","135.8938","0.2701333"
"1.63","136.7402","0.2718"
"1.64","137.585","0.2735"
"1.65","138.4219","0.2751667"
"1.66","139.2516","0.2768"
"1.67","140.0828","0.2784667"
"1.68","140.9165","0.2801333"
"1.69","141.747","0.2817667"
"1.7","142.5751","0.2834667"
"1.71","143.4064","0.2851333"
"1.72","144.2385","0.2868"
"1.73","145.0674","0.2884667"
"1.74","145.9018","0.2901333"
"1.75","146.7482","0.2917667"
"1.76","147.601","0.2934667"
"1.77","148.4458","0.2951333"
"1.78","149.2842","0.2968"
"1.79","150.1242","0.2984667"
"1.8","150.969","0.3001667"
"1.81","151.8138","0.3018"
"1.82","152.661","0.3034667"
"1.83","153.5177","0.3051333"
"1.84","154.3744","0.3068"
"1.85","155.2137","0.3084667"
"1.86","156.0338","0.3101333"
"1.87","156.8524","0.3118333"
"1.88","157.6869","0.3134667"
"1.89","158.5253","0.3151333"
"1.9","159.351","0.3168"
"1.91","160.1672","0.3184667"
"1.92","160.989","0.3201333"
"1.93","161.8115","0.3218"
"1.94","162.6221","0.3234667"
"1.95","163.428","0.3251"
"1.96","164.2354","0.3267667"
"1.97","165.0413","0.3284667"
"1.98","165.8448","0.3301667"
"1.99","166.6443","0.3318"
"2","167.4422","0.3335"
"2.01","168.2456","0.3351333"
"2.02","169.0499","0.3367667"
"2.03","169.8518","0.3384667"
"2.04","170.6529","0.3401333"
"2.05","171.4516","0.3418"
"2.06","172.2447","0.3434667"
"2.07","173.0299","0.3451333"
"2.08","173.8214","0.3468"
"2.09","174.6249","0.3484333"
"2.1","175.4276","0.3501333"
"2.11","176.2191","0.3518"
"2.12","177.0083","0.3534667"
"2.13","177.8054","0.3551333"
"2.14","178.601","0.3568"
"2.15","179.3853","0.3584667"
"2.16","180.1682","0.3601333"
"2.17","180.9613","0.3618"
"2.18","181.7592","0.3634667"
"2.19","182.5531","0.3651333"
"2.2","183.3439","0.3668"
"2.21","184.1362","0.3684667"
"2.22","184.9294","0.3701333"
"2.23","185.7185","0.3718"
"2.24","186.5045","0.3734667"
"2.25","187.2913","0.3751333"
"2.26","188.0797","0.3768"
"2.27","188.8672","0.3784667"
"2.28","189.654","0.3801333"
"2.29","190.4416","0.3817667"
"2.3","191.2347","0.3834667"
"2.31","192.0207","0.3851333"
"2.32","192.7932","0.3868"
"2.33","193.5689","0.3884667"
"2.34","194.3564","0.3901334"
"2.35","195.1432","0.3918"
"2.36","195.9149","0.3934667"
"2.37","196.6842","0.3951333"
"2.38","197.4606","0.3968"
"2.39","198.2323","0.3984667"
"2.4","198.9945","0.4001333"
"2.41","199.7558","0.4018"
"2.42","200.5315","0.4034334"
"2.43","201.3119","0.4051"
"2.44","202.0852","0.4067667"
"2.45","202.8569","0.4084333"
"2.46","203.6397","0.4101333"
"2.47","204.4272","0.4118"
"2.48","205.2061","0.4134667"
"2.49","205.9801","0.4151"
"2.5","206.7653","0.4168"
"2.51","207.5585","0.4184667"
"2.52","208.3421","0.4201"
"2.53","209.1169","0.4218"
"2.54","209.9029","0.4234667"
"2.55","210.7016","0.4251"
"2.56","211.4876","0.4267667"
"2.57","212.2529","0.4284667"
"2.58","213.0214","0.4301333"
"2.59","213.8066","0.4318"
"2.6","214.5918","0.4334667"
"2.61","215.3635","0.4351333"
"2.62","216.1241","0.4367667"
"2.63","216.887","0.4384667"
"2.64","217.6483","0.4401333"
"2.65","218.4041","0.4418"
"2.66","219.1536","0.4434667"
"2.67","219.9141","0.4451333"
"2.68","220.6858","0.4468"
"2.69","221.4567","0.4484667"
"2.7","222.2109","0.4501333"
"2.71","222.9532","0.4518"
"2.72","223.6978","0.4534667"
"2.73","224.4465","0.4551333"
"2.74","225.1927","0.4568"
"2.75","225.9398","0.4584667"
"2.76","226.6963","0.4601333"
"2.77","227.4569","0.4618"
"2.78","228.2095","0.4634333"
"2.79","228.9518","0.4651"
"2.8","229.6885","0.4668"
"2.81","230.4228","0.4684667"
"2.82","231.1516","0.4701333"
"2.83","231.8795","0.4718"
"2.84","232.6179","0.4734667"
"2.85","233.3721","0.4751333"
"2.86","234.1286","0.4768"
"2.87","234.8812","0.4784667"
"2.88","235.6362","0.4801333"
"2.89","236.3992","0.4818"
"2.9","237.1566","0.4834667"
"2.91","237.9028","0.4851333"
"2.92","238.6475","0.4868"
"2.93","239.4017","0.4884667"
"2.94","240.1503","0.4901333"
"2.95","240.8886","0.4917667"
"2.96","241.6269","0.4934333"
"2.97","242.3795","0.4951333"
"2.98","243.1369","0.4968"
"2.99","243.8895","0.4984667"
"3","244.6373","0.5001333"
"3.01","245.3844","0.5018"
"3.02","246.133","0.5034333"
"3.03","246.8832","0.5051333"
"3.04","247.6335","0.5068"
"3.05","248.3821","0.5084667"
"3.06","249.1371","0.5101333"
"3.07","249.9","0.5118"
"3.08","250.6606","0.5134667"
"3.09","251.414","0.5151333"
"3.1","252.1658","0.5168"
"3.11","252.9192","0.5184667"
"3.12","253.6702","0.5201333"
"3.13","254.4228","0.5218"
"3.14","255.1746","0.5234666"
"3.15","255.9209","0.5251333"
"3.16","256.6656","0.5267667"
"3.17","257.4189","0.5284333"
"3.18","258.1755","0.5301"
"3.19","258.9265","0.5317667"
"3.2","259.6728","0.5334667"
"3.21","260.4151","0.5351"
"3.22","261.155","0.5367666"
"3.23","261.902","0.5384667"
"3.24","262.6665","0.5401334"
"3.25","263.4319","0.5418"
"3.26","264.1869","0.5434667"
"3.27","264.9435","0.5451334"
"3.28","265.7104","0.5468"
"3.29","266.4789","0.5484334"
"3.3","267.2418","0.5501333"
"3.31","268.0008","0.5518"
"3.32","268.7621","0.5534667"
"3.33","269.5251","0.5551333"
"3.34","270.2856","0.5568"
"3.35","271.0422","0.5584334"
"3.36","271.7932","0.5601"
"3.37","272.5434","0.5618"
"3.38","273.2897","0.5634667"
"3.39","274.0304","0.5651333"
"3.4","274.775","0.5668"
"3.41","275.534","0.5684667"
"3.42","276.293","0.5701"
"3.43","277.0376","0.5718"
"3.44","277.7751","0.5734667"
"3.45","278.5134","0.5751333"
"3.46","279.2525","0.5768"
"3.47","279.9884","0.5785"
"3.48","280.7252","0.5801333"
"3.49","281.469","0.5818"
"3.5","282.2153","0.5834666"
"3.51","282.9583","0.5851333"
"3.52","283.6943","0.5867667"
"3.53","284.423","0.5884666"
"3.54","285.1462","0.5901"
"3.55","285.8647","0.5917667"
"3.56","286.5823","0.5934667"
"3.57","287.3111","0.5951334"
"3.58","288.0494","0.5968"
"3.59","288.7837","0.5984667"
"3.6","289.5069","0.6001334"
"3.61","290.2317","0.6018"
"3.62","290.9716","0.6034333"
"3.63","291.7139","0.6051334"
"3.64","292.4387","0.6068"
"3.65","293.1539","0.6084667"
"3.66","293.8795","0.6101333"
"3.67","294.6202","0.6118"
"3.68","295.3633","0.6134667"
"3.69","296.0976","0.6151"
"3.7","296.8232","0.6168"
"3.71","297.5448","0.6184334"
"3.72","298.2736","0.6201"
"3.73","299.0119","0.6218"
"3.74","299.7502","0.6234667"
"3.75","300.4845","0.6251"
"3.76","301.2204","0.6267667"
"3.77","301.9595","0.6284667"
"3.78","302.6978","0.6301"
"3.79","303.4314","0.6317667"
"3.8","304.1601","0.6334667"
"3.81","304.8897","0.6351333"
"3.82","305.6256","0.6368"
"3.83","306.3687","0.6384667"
"3.84","307.1149","0.6401333"
"3.85","307.8516","0.6418"
"3.86","308.578","0.6434667"
"3.87","309.302","0.6451333"
"3.88","310.0236","0.6468"
"3.89","310.75","0.6484666"
"3.9","311.4875","0.6501667"
"3.91","312.2242","0.6518"
"3.92","312.9522","0.6534333"
"3.93","313.6762","0.6551"
"3.94","314.405","0.6567667"
"3.95","315.1329","0.6584333"
"3.96","315.8561","0.6601"
"3.97","316.5849","0.6618"
"3.98","317.3288","0.6634667"
"3.99","318.0774","0.6651334"
"4","318.8221","0.6668"
"4.01","319.5691","0.6684667"
"4.02","320.3241","0.6701"
"4.03","321.0807","0.6718"
"4.04","321.823","0.6734667"
"4.05","322.5549","0.6751333"
"4.06","323.2908","0.6768333"
"4.07","324.0339","0.6785"
"4.08","324.7841","0.6801333"
"4.09","325.5367","0.6818"
"4.1","326.2893","0.6834667"
"4.11","327.0316","0.6851333"
"4.12","327.758","0.6867667"
"4.13","328.478","0.6884667"
"4.14","329.2036","0.6901333"
"4.15","329.9403","0.6918"
"4.16","330.681","0.6934667"
"4.17","331.4153","0.6951333"
"4.18","332.1353","0.6968"
"4.19","332.8474","0.6984667"
"4.2","333.5643","0.7001333"
"4.21","334.2883","0.7018"
"4.22","335.0083","0.7034333"
"4.23","335.722","0.7051333"
"4.24","336.4341","0.7068"
"4.25","337.1461","0.7084666"
"4.26","337.8534","0.7101667"
"4.27","338.5591","0.7118"
"4.28","339.2712","0.7134333"
"4.29","339.9873","0.7151"
"4.3","340.7001","0.7168"
"4.31","341.4019","0.7184667"
"4.32","342.0981","0.7201334"
"4.33","342.7974","0.7218"
"4.34","343.4992","0.7234667"
"4.35","344.1985","0.7251"
"4.36","344.8939","0.7267666"
"4.37","345.5925","0.7284667"
"4.38","346.2911","0.7301334"
"4.39","346.9817","0.7318"
"4.4","347.6652","0.7334667"
"4.41","348.3566","0.7351333"
"4.42","349.0615","0.7368"
"4.43","349.764","0.7384667"
"4.44","350.457","0.7401333"
"4.45","351.1405","0.7418"
"4.46","351.8216","0.7434667"
"4.47","352.5106","0.7451667"
"4.48","353.2036","0.7468"
"4.49","353.8966","0.7484667"
"4.5","354.592","0.7501333"
"4.51","355.2938","0.7518"
"4.52","355.9907","0.7534333"
"4.53","356.6726","0.7551333"
"4.54","357.3497","0.7568"
"4.55","358.0348","0.7584333"
"4.56","358.7214","0.7601333"
"4.57","359.4009","0.7618"
"4.58","360.082","0.7634667"
"4.59","360.7671","0.7651333"
"4.6","361.4481","0.7668334"
"4.61","362.1229","0.7684667"
"4.62","362.7976","0.7701"
"4.63","363.4826","0.7718"
"4.64","364.1709","0.7735"
"4.65","364.852","0.7751334"
"4.66","365.5267","0.7768"
"4.67","366.2078","0.7784667"
"4.68","366.8952","0.7801334"
"4.69","367.5834","0.7817667"
"4.7","368.2614","0.7834667"
"4.71","368.9384","0.7851334"
"4.72","369.6195","0.7867666"
"4.73","370.3022","0.7884667"
"4.74","370.9849","0.7901334"
"4.75","371.6723","0.7917667"
"4.76","372.3661","0.7934667"
"4.77","373.0607","0.7951334"
"4.78","373.7481","0.7967667"
"4.79","374.4395","0.7984334"
"4.8","375.1397","0.8001333"
"4.81","375.8415","0.8018"
"4.82","376.5424","0.8034667"
"4.83","377.2458","0.8051333"
"4.84","377.9499","0.8068"
"4.85","378.6532","0.8084667"
"4.86","379.3502","0.8101333"
"4.87","380.0456","0.8118"
"4.88","380.7418","0.8134667"
"4.89","381.4371","0.8151333"
"4.9","382.1286","0.8168"
"4.91","382.8128","0.8184667"
"4.92","383.4923","0.8201"
"4.93","384.1734","0.8218"
"4.94","384.8608","0.8234667"
"4.95","385.5499","0.8251"
"4.96","386.2325","0.8267667"
"4.97","386.9104","0.8284667"
"4.98","387.5868","0.8301667"
"4.99","388.2678","0.8318334"
"5","388.9537","0.8335"
"5.01","389.6451","0.8351333"
"5.02","390.3381","0.8367667"
"5.03","391.0216","0.8384667"
"5.04","391.6979","0.8401334"
"5.05","392.3734","0.8418"
"5.06","393.0577","0.8435"
"5.07","393.7451","0.8451667"
"5.08","394.4286","0.8468"
"5.09","395.1057","0.8484667"
