"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"0","0.8233388","0.0002"
"0.01","0.8336703","0.001566667"
"0.02","0.8392334","0.0033"
"0.03","0.8694331","0.005066667"
"0.04","1.021226","0.0068"
"0.05","1.397928","0.008466667"
"0.06","2.009074","0.01013333"
"0.07","2.777576","0.01183333"
"0.08","3.618399","0.01346667"
"0.09","4.478296","0.01513333"
"0.1","5.330245","0.01683333"
"0.11","6.16471","0.0185"
"0.12","6.999969","0.02013333"
"0.13","7.844766","0.02183333"
"0.14","8.691152","0.0235"
"0.15","9.53118","0.02513333"
"0.16","10.36406","0.0268"
"0.17","11.19455","0.0285"
"0.18","12.02901","0.03016667"
"0.19","12.86745","0.03183333"
"0.2","13.71225","0.0335"
"0.21","14.56261","0.03516667"
"0.22","15.41615","0.0368"
"0.23","16.26889","0.0385"
"0.24","17.10971","0.04016667"
"0.25","17.94656","0.04183333"
"0.26","18.78897","0.0435"
"0.27","19.63139","0.0452"
"0.28","20.46188","0.04683333"
"0.29","21.28442","0.0485"
"0.3","22.12286","0.05016667"
"0.31","22.97719","0.05183334"
"0.32","23.82437","0.05346667"
"0.33","24.65645","0.05516667"
"0.34","25.48456","0.05683333"
"0.35","26.31505","0.0585"
"0.36","27.14396","0.06013333"
"0.37","27.96729","0.0618"
"0.38","28.78745","0.06346667"
"0.39","29.61079","0.06513333"
"0.4","30.43493","0.06683333"
"0.41","31.24873","0.0685"
"0.42","32.06015","0.07013334"
"0.43","32.88428","0.07183333"
"0.44","33.72749","0.0735"
"0.45","34.56831","0.07516667"
"0.46","35.39642","0.07683334"
"0.47","36.2285","0.0785"
"0.48","37.0733","0.08016667"
"0.49","37.92207","0.0818"
"0.5","38.7613","0.0835"
"0.51","39.59576","0.08516667"
"0.52","40.42943","0.08683334"
"0.53","41.26469","0.0885"
"0.54","42.10075","0.09016667"
"0.55","42.92965","0.0918"
"0.56","43.7514","0.09346667"
"0.57","44.57394","0.09516667"
"0.58","45.39967","0.09683333"
"0.59","46.21824","0.0985"
"0.6","47.03045","0.1002"
