"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"1.9","139.3072","0.3168"
"1.91","139.9358","0.3184667"
"1.92","140.5716","0.3201333"
"1.93","141.2074","0.3218"
"1.94","141.84","0.3234667"
"1.95","142.4774","0.3251333"
"1.96","143.1235","0.3268"
"1.97","143.7696","0.3284667"
"1.98","144.4101","0.3301333"
"1.99","145.0467","0.3317667"
"2","145.6928","0.3334667"
"2.01","146.3437","0.3351333"
"2.02","146.989","0.3368"
"2.03","147.6296","0.3384667"
"2.04","148.2765","0.3401333"
"2.05","148.9258","0.3418"
"2.06","149.5663","0.3434667"
"2.07","150.2045","0.3451333"
"2.08","150.8427","0.3468"
"2.09","151.4808","0.3484667"
"2.1","152.1174","0.3501333"
"2.11","152.7572","0.3518"
"2.12","153.3993","0.3534667"
"2.13","154.0391","0.3551333"
"2.14","154.6741","0.3568"
"2.15","155.3122","0.3584333"
"2.16","155.9615","0.3601"
"2.17","156.6084","0.3618"
"2.18","157.2402","0.3634667"
"2.19","157.8538","0.3651667"
"2.2","158.4657","0.3668333"
"2.21","159.0888","0.3684667"
"2.22","159.7126","0.3701"
"2.23","160.327","0.3718"
"2.24","160.9421","0.3734667"
"2.25","161.5643","0.3751333"
"2.26","162.1858","0.3768333"
"2.27","162.7978","0.3785"
"2.28","163.4073","0.3801333"
"2.29","164.0288","0.3818"
"2.3","164.6606","0.3834667"
"2.31","165.2885","0.3851333"
"2.32","165.9068","0.3867667"
"2.33","166.5235","0.3884667"
"2.34","167.1473","0.3901334"
"2.35","167.7672","0.3918"
"2.36","168.3768","0.3934667"
"2.37","168.9863","0.3951333"
"2.38","169.6118","0.3968"
"2.39","170.2484","0.3984667"
"2.4","170.8706","0.4001333"
"2.41","171.4714","0.4018"
"2.42","172.0707","0.4034667"
"2.43","172.6826","0.4051333"
"2.44","173.3065","0.4068"
"2.45","173.9279","0.4084667"
"2.46","174.5518","0.4101333"
"2.47","175.1757","0.4118333"
"2.48","175.7892","0.4134667"
"2.49","176.39","0.4151333"
"2.5","176.994","0.4168"
"2.51","177.6099","0.4185"
"2.52","178.2211","0.4201334"
"2.53","178.8219","0.4218"
"2.54","179.4211","0.4234667"
"2.55","180.0331","0.4251333"
"2.56","180.649","0.4268"
"2.57","181.2577","0.4284667"
"2.58","181.8617","0.4301333"
"2.59","182.4737","0.4318"
"2.6","183.0928","0.4334667"
"2.61","183.7023","0.4351333"
"2.62","184.2991","0.4367667"
"2.63","184.9008","0.4384667"
"2.64","185.5127","0.4401333"
"2.65","186.1183","0.4418"
"2.66","186.7048","0.4434667"
"2.67","187.2913","0.4451667"
"2.68","187.8993","0.4468"
"2.69","188.5215","0.4484667"
"2.7","189.1383","0.4501333"
"2.71","189.7438","0.4518"
"2.72","190.3478","0.4534667"
"2.73","190.959","0.4551333"
"2.74","191.5725","0.4568"
"2.75","192.1805","0.4584667"
"2.76","192.7892","0.4601333"
"2.77","193.4028","0.4618"
"2.78","194.0083","0.4634667"
"2.79","194.5957","0.4651333"
"2.8","195.1766","0.4668334"
"2.81","195.7758","0.4684667"
"2.82","196.3774","0.4701333"
"2.83","196.956","0.4718"
"2.84","197.529","0.4735"
"2.85","198.1243","0.4751333"
"2.86","198.7346","0.4768"
"2.87","199.333","0.4785"
"2.88","199.9156","0.4801333"
"2.89","200.4941","0.4818"
"2.9","201.0687","0.4835"
"2.91","201.6354","0.4851333"
"2.92","202.1964","0.4868"
"2.93","202.7726","0.4884667"
"2.94","203.3599","0.4901333"
"2.95","203.9345","0.4918"
"2.96","204.4868","0.4934667"
"2.97","205.0368","0.4951333"
"2.98","205.5955","0.4968"
"2.99","206.1494","0.4984667"
"3","206.693","0.5001333"
"3.01","207.2374","0.5018"
"3.02","207.7881","0.5034333"
"3.03","208.3357","0.5051333"
"3.04","208.8737","0.5068"
"3.05","209.4102","0.5084667"
"3.06","209.9522","0.5101333"
"3.07","210.4934","0.5118333"
"3.08","211.0251","0.5134667"
"3.09","211.5512","0.5151333"
"3.1","212.0765","0.5168"
"3.11","212.5963","0.5184667"
"3.12","213.1057","0.5201333"
"3.13","213.6143","0.5218"
"3.14","214.1325","0.5234666"
"3.15","214.6578","0.5251333"
"3.16","215.1767","0.5268"
"3.17","215.6846","0.5284667"
"3.18","216.1932","0.5301334"
"3.19","216.709","0.5318"
"3.2","217.2263","0.5334667"
"3.21","217.7382","0.5351334"
"3.22","218.2428","0.5367666"
"3.23","218.7403","0.5384667"
"3.24","219.2291","0.5401334"
"3.25","219.7059","0.5418"
"3.26","220.1843","0.5435"
"3.27","220.6755","0.5451334"
"3.28","221.1746","0.5468"
"3.29","221.6689","0.5484667"
"3.3","222.1561","0.5501333"
"3.31","222.6408","0.5518"
"3.32","223.1248","0.5534667"
"3.33","223.6064","0.5551333"
"3.34","224.0849","0.5568333"
"3.35","224.5585","0.5584667"
"3.36","225.0298","0.5601"
"3.37","225.4955","0.5618"
"3.38","225.9564","0.5634667"
"3.39","226.4237","0.5651"
"3.4","226.891","0.5668"
"3.41","227.3504","0.5684667"
"3.42","227.8034","0.5701333"
"3.43","228.2651","0.5718"
"3.44","228.734","0.5734667"
"3.45","229.2077","0.5751333"
"3.46","229.6805","0.5768"
"3.47","230.1574","0.5784667"
"3.48","230.6334","0.5801333"
"3.49","231.1063","0.5818"
"3.5","231.576","0.5834666"
"3.51","232.0425","0.5851333"
"3.52","232.509","0.5868"
"3.53","232.9739","0.5884666"
"3.54","233.4372","0.5901334"
"3.55","233.8997","0.5918"
"3.56","234.3639","0.5934333"
"3.57","234.8248","0.5951334"
"3.58","235.2826","0.5968"
"3.59","235.7348","0.5984667"
"3.6","236.1902","0.6001667"
"3.61","236.6463","0.6018"
"3.62","237.0969","0.6034667"
"3.63","237.5444","0.6051334"
"3.64","237.991","0.6068"
"3.65","238.4369","0.6084667"
"3.66","238.8795","0.6101333"
"3.67","239.3182","0.6118333"
"3.68","239.7601","0.6134667"
"3.69","240.2012","0.6151333"
"3.7","240.6414","0.6168"
"3.71","241.0833","0.6184667"
"3.72","241.5291","0.6201333"
"3.73","241.9766","0.6218"
"3.74","242.424","0.6234667"
"3.75","242.8683","0.6251"
"3.76","243.3085","0.6268"
"3.77","243.7457","0.6284667"
"3.78","244.1835","0.6301333"
"3.79","244.6167","0.6318"
