"1 _ 1",,
"Time","Force","Stroke"
"sec","N","mm"
"1.9","198.7306","0.3168"
"1.91","199.7534","0.3184667"
"1.92","200.7643","0.3201333"
"1.93","201.7625","0.3218"
"1.94","202.7567","0.3234667"
"1.95","203.7565","0.3251"
"1.96","204.7523","0.3267667"
"1.97","205.7449","0.3284667"
"1.98","206.7431","0.3301333"
"1.99","207.7444","0.3318"
"2","208.741","0.3335"
"2.01","209.7344","0.3351333"
"2.02","210.7271","0.3367667"
"2.03","211.7213","0.3384667"
"2.04","212.7147","0.3401333"
"2.05","213.6985","0.3418"
"2.06","214.6705","0.3434667"
"2.07","215.6496","0.3451333"
"2.08","216.6454","0.3468"
"2.09","217.6515","0.3484333"
"2.1","218.6465","0.3501333"
"2.11","219.632","0.3518"
"2.12","220.6135","0.3534667"
"2.13","221.5918","0.3551333"
"2.14","222.5685","0.3568"
"2.15","223.5468","0.3584667"
"2.16","224.5347","0.3601333"
"2.17","225.5321","0.3618"
"2.18","226.5263","0.3634667"
"2.19","227.5085","0.3651333"
"2.2","228.4845","0.3668"
"2.21","229.4675","0.3684667"
"2.22","230.4594","0.3701333"
"2.23","231.448","0.3718"
"2.24","232.4295","0.3734667"
"2.25","233.411","0.3751333"
"2.26","234.3949","0.3768"
"2.27","235.3748","0.3784667"
"2.28","236.3547","0.3801333"
"2.29","237.3457","0.3817667"
"2.3","238.3479","0.3834667"
"2.31","239.3389","0.3851333"
"2.32","240.318","0.3868"
"2.33","241.3018","0.3884667"
"2.34","242.2953","0.3901334"
"2.35","243.2879","0.3918"
"2.36","244.2741","0.3934667"
"2.37","245.2652","0.3951333"
"2.38","246.257","0.3968"
"2.39","247.2393","0.3984667"
"2.4","248.2112","0.4001333"
"2.41","249.1879","0.4017667"
"2.42","250.1782","0.4034334"
"2.43","251.1779","0.4051"
"2.44","252.1658","0.4067667"
"2.45","253.1401","0.4084333"
"2.46","254.1272","0.4101333"
"2.47","255.1341","0.4118"
"2.48","256.1378","0.4134667"
"2.49","257.1297","0.4151"
"2.5","258.1302","0.4168"
"2.51","259.1515","0.4184667"
"2.52","260.1759","0.4201"
"2.53","261.1899","0.4218"
"2.54","262.2072","0.4234667"
"2.55","263.2332","0.4251"
"2.56","264.2544","0.4267667"
"2.57","265.2629","0.4284667"
"2.58","266.2619","0.4301333"
"2.59","267.2601","0.4318"
"2.6","268.2654","0.4334667"
"2.61","269.2747","0.4351333"
"2.62","270.2769","0.4367667"
"2.63","271.2758","0.4384667"
"2.64","272.282","0.4401333"
"2.65","273.2817","0.4418"
"2.66","274.264","0.4434667"
"2.67","275.2471","0.4451333"
"2.68","276.2437","0.4468"
"2.69","277.2451","0.4484667"
"2.7","278.2337","0.4501333"
"2.71","279.2168","0.4518"
"2.72","280.2078","0.4534667"
"2.73","281.2012","0.4551333"
"2.74","282.1827","0.4568"
"2.75","283.1467","0.4584667"
"2.76","284.1123","0.4601333"
"2.77","285.0898","0.4618"
"2.78","286.0689","0.4634333"
"2.79","287.0385","0.4651"
"2.8","288.0065","0.4668"
"2.81","288.9832","0.4684667"
"2.82","289.9575","0.4701333"
"2.83","290.9263","0.4718"
"2.84","291.8983","0.4734667"
"2.85","292.8845","0.4751333"
"2.86","293.8755","0.4768"
"2.87","294.8578","0.4784667"
"2.88","295.8353","0.4801333"
"2.89","296.8216","0.4818"
"2.9","297.8134","0.4834667"
"2.91","298.8005","0.4851333"
"2.92","299.7788","0.4868"
"2.93","300.7579","0.4884667"
"2.94","301.7402","0.4901333"
"2.95","302.7161","0.4917667"
"2.96","303.6809","0.4934333"
"2.97","304.6465","0.4951333"
"2.98","305.6264","0.4968"
"2.99","306.6118","0.4984667"
"3","307.5854","0.5001333"
"3.01","308.551","0.5018"
"3.02","309.5269","0.5034333"
"3.03","310.5148","0.5051333"
"3.04","311.4915","0.5068"
"3.05","312.4467","0.5084667"
