NaN,0.0001,0.000316228,0.001,0.003162278,0.01,0.011220185,0.012589254,0.014125375,0.015848932,0.017782794,0.019952623,0.022387211,0.025118864,0.028183829,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,100
0.64,2504.487858,2504.487858,2504.487858,2504.487858,2526.70678,2635.002371,2822.751593,3084.688412,3690.678561,4331.930288,5953.774642,9258.163467,21725.32546,-7.90298E+11,4.73E+15,-2.35E+16,3.60E+15,2.79E+15,1.02E+17,1.27E+16,-3.19E+17,1.12E+17
