Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	14	70.014	0.11678	1.0456	111.69	1		0.004291	2.35E+03	4:52:17 PM	-0.0116
	15	75.015	0.14881	1.3377	111.24	1		0.0054679	2.94E+03	4:52:22 PM	-0.0119
	16	80.016	0.18962	1.6769	113.08	1		0.0069676	3.7E+03	4:52:27 PM	-0.0121
	17	85.017	0.24163	2.0792	116.21	1		0.0088787	4.63E+03	4:52:32 PM	-0.0117
	18	90.017	0.30791	2.685	114.68	1		0.011314	5.82E+03	4:52:37 PM	-0.0111
	19	95.019	0.39236	3.5571	110.3	1		0.014417	7.37E+03	4:52:42 PM	-0.0106
	20	100.02	0.49997	4.6077	108.51	1		0.018371	9.4E+03	4:52:47 PM	-0.0109

Interval and data points:	2	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	0.5	4.9643	100.72	1		0.018372	1.18E+04	4:52:52 PM	-0.0114
	2	110.02	0.39241	4.1998	93.434	1		0.014419	1.42E+04	4:52:57 PM	-0.0124
	3	115.02	0.30795	3.2312	95.304	1		0.011315	1.6E+04	4:53:02 PM	-0.0121
	4	120.03	0.24166	2.5929	93.202	1		0.0088798	1.75E+04	4:53:07 PM	-0.0116
	5	125.03	0.18965	2.0891	90.781	1		0.0069685	1.86E+04	4:53:12 PM	-0.0117
	6	130.03	0.14883	1.6629	89.498	1		0.0054686	1.96E+04	4:53:17 PM	-0.0118
	7	135.03	0.11679	1.3192	88.533	1		0.0042915	2.03E+04	4:53:22 PM	-0.012
	8	140.03	0.091655	1.0797	84.888	1		0.0033678	2.09E+04	4:53:27 PM	-0.0116
	9	145.03	0.071927	0.81969	87.75	1		0.0026429	2.14E+04	4:53:32 PM	-0.0117
	10	150.03	0.056446	0.63087	89.473	1		0.0020741	2.17E+04	4:53:37 PM	-0.012
	11	155.03	0.044296	0.52226	84.817	1		0.0016276	2.2E+04	4:53:42 PM	-0.0123
