Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	0.5	12.487	40.041	0.06996		0.018372	3.28E+04	5:20:21 PM	-0.0514
	2	110.02	0.39241	9.4593	41.484	0.06996		0.014419	3.83E+04	5:20:26 PM	-0.0524
	3	115.02	0.30795	7.9902	38.54	0.06996		0.011315	4.27E+04	5:20:31 PM	-0.0521
	4	120.03	0.24166	6.37	37.938	0.06996		0.0088798	4.63E+04	5:20:36 PM	-0.052
	5	125.03	0.18965	4.768	39.775	0.06996		0.0069685	4.91E+04	5:20:41 PM	-0.0515
	6	130.03	0.14883	3.9175	37.99	0.06996		0.0054686	5.12E+04	5:20:46 PM	-0.0511
	7	135.03	0.11679	3.1399	37.196	0.06996		0.0042915	5.3E+04	5:20:51 PM	-0.0507
	8	140.03	0.091655	2.4844	36.892	0.06996		0.0033678	5.44E+04	5:20:56 PM	-0.0508
	9	145.03	0.071927	1.9475	36.934	0.06996		0.0026429	5.55E+04	5:21:01 PM	-0.0498
	10	150.03	0.056446	1.529	36.917	0.06997		0.0020741	5.64E+04	5:21:06 PM	-0.0496
	11	155.03	0.044296	1.2059	36.732	0.06997		0.0016276	5.7E+04	5:21:11 PM	-0.0492
	12	160.03	0.034762	0.94069	36.954	0.06997		0.0012773	5.76E+04	5:21:16 PM	-0.049
	13	165.03	0.02728	0.74471	36.632	0.06997		0.0010024	5.8E+04	5:21:21 PM	-0.048
	14	170.04	0.021408	0.58557	36.559	0.06997		0.00078663	5.83E+04	5:21:26 PM	-0.0483
	15	175.04	0.0168	0.45639	36.811	0.06997		0.00061732	5.86E+04	5:21:31 PM	-0.0479
	16	180.04	0.013184	0.36083	36.538	0.06997		0.00048444	5.88E+04	5:21:36 PM	-0.0475
	17	185.04	0.010346	0.28573	36.211	0.06997		0.00038017	5.89E+04	5:21:41 PM	-0.0466
	18	190.04	0.0081194	0.23056	35.216	0.06997		0.00029834	5.91E+04	5:21:46 PM	-0.0464
	19	195.04	0.0063718	0.18536	34.376	0.06997		0.00023413	5.92E+04	5:21:51 PM	-0.0461
	20	200.04	0.0050003	0.15566	32.124	0.06997		0.00018373	5.93E+04	5:21:56 PM	-0.0459

Test:	std d=0.05mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	5	0.0049926	0.19657	25.399	0.04995		0.00018345	56.4	5:24:45 PM	-0.0653
	2	10.001	0.006371	0.00084648	7526.5	0.04995		0.0002341	98.6	5:24:50 PM	-0.0649
	3	15.002	0.0081184	0.00044253	18346	0.04995		0.00029831	98.9	5:24:55 PM	-0.0645
	4	20.003	0.010345	-0.00024175	-42793	0.04995		0.00038013	99	5:25:00 PM	-0.0641
	5	25.004	0.013183	0.00013933	94614	0.04996		0.00048439	98.9	5:25:05 PM	-0.0637
	6	30.005	0.016798	0.00056065	29962	0.04996		0.00061724	99.2	5:25:10 PM	-0.0632
	7	35.006	0.021405	0.00057073	37506	0.04996		0.00078653	99.4	5:25:15 PM	-0.0629
	8	40.007	0.027276	0.0007282	37457	0.04996		0.0010023	99.8	5:25:20 PM	-0.0622
	9	45.008	0.034758	0.0017614	19733	0.04996		0.0012772	100	5:25:25 PM	-0.0615
	10	50.009	0.044291	0.0027641	16023	0.04996		0.0016274	102	5:25:30 PM	-0.0609
	11	55.01	0.056439	0.0034449	16383	0.04996		0.0020738	103	5:25:35 PM	-0.0604
	12	60.011	0.071919	0.0061002	11790	0.04996		0.0026426	106	5:25:40 PM	-0.0598
	13	65.012	0.091644	0.40162	228.19	0.04996		0.0033674	183	5:25:45 PM	-0.0593
	14	70.013	0.11678	0.41258	283.05	0.04996		0.004291	419	5:25:50 PM	-0.0598
	15	75.014	0.14881	0.65268	228	0.04996		0.0054679	682	5:25:55 PM	-0.0589
	16	80.015	0.18962	0.0121	15671	0.04996		0.0069676	845	5:26:00 PM	-0.0576
	17	85.016	0.24163	0.0087987	27462	0.04996		0.0088787	850	5:26:05 PM	-0.0566
	18	90.017	0.30791	0.0093321	32995	0.04996		0.011314	855	5:26:10 PM	-0.0555
	19	95.018	0.39236	0.0099648	39375	0.04996		0.014417	860	5:26:15 PM	-0.0541
	20	100.02	0.49997	0.012271	40744	0.04996		0.018371	866	5:26:20 PM	-0.0525

Interval and data points:	2	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	0.5	0.0011536	4.3343E+05	0.04996		0.018372	867	5:26:25 PM	-0.052
	2	110.02	0.39241	-0.0028479	-1.3779E+05	0.04996		0.014419	866	5:26:30 PM	-0.0526
	3	115.02	0.30795	-0.0015415	-1.9977E+05	0.04996		0.011315	865	5:26:35 PM	-0.0531
	4	120.02	0.24166	-0.0024724	-97746	0.04996		0.0088798	864	5:26:40 PM	-0.053
	5	125.03	0.18965	-0.0023978	-79092	0.04996		0.0069685	863	5:26:45 PM	-0.0533
	6	130.03	0.14883	-0.0023743	-62682	0.04996		0.0054686	862	5:26:50 PM	-0.0534
	7	135.03	0.11679	-0.0017998	-64895	0.04996		0.0042915	860	5:26:55 PM	-0.0535
	8	140.03	0.091655	-0.00095565	-95909	0.04996		0.0033678	860	5:27:00 PM	-0.0536
	9	145.03	0.071927	-0.0011188	-64290	0.04996		0.0026429	859	5:27:05 PM	-0.0538
	10	150.03	0.056446	-0.0020301	-27804	0.04996		0.0020741	859	5:27:10 PM	-0.0532
	11	155.03	0.044296	-0.00074819	-59205	0.04996		0.0016276	858	5:27:15 PM	-0.0535
	12	160.03	0.034762	-0.0011108	-31293	0.04996		0.0012773	858	5:27:20 PM	-0.0533
	13	165.03	0.02728	-0.0021707	-12568	0.04996		0.0010024	857	5:27:25 PM	-0.0533
	14	170.03	0.021408	-0.0014316	-14954	0.04996		0.00078663	856	5:27:30 PM	-0.0529
	15	175.04	0.0168	-0.00034759	-48334	0.04996		0.00061732	855	5:27:35 PM	-0.0526
	16	180.04	0.013184	0.00010393	1.2686E+05	0.04996		0.00048444	855	5:27:40 PM	-0.0527
	17	185.04	0.010346	-0.0014509	-7131.2	0.04996		0.00038017	855	5:27:45 PM	-0.0524
	18	190.04	0.0081194	0.00026337	30829	0.04996		0.00029834	855	5:27:50 PM	-0.0526
	19	195.04	0.0063718	0.0010934	5827.7	0.04996		0.00023413	855	5:27:55 PM	-0.0521
	20	200.04	0.0050003	0.00020193	24763	0.04996		0.00018373	856	5:28:00 PM	-0.0517

Test:	std d=0.05mm 0.5pa

Result:	steady stress 1

Interval and data points:	1	467
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	0.25	0.5	5.8824	84.999	0.04997		0.018372	73.3	5:29:00 PM	-0.0486
	2	0.5	0.5	1.8178	275.06	0.04997		0.018372	164	5:29:00 PM	-0.0437
	3	0.75	0.5	0.80744	619.24	0.04997		0.018372	198	5:29:00 PM	-0.0414
	4	1	0.5	1.4345	348.55	0.04997		0.018372	225	5:29:01 PM	-0.0397
	5	1.25	0.5	1.0903	458.58	0.04997		0.018372	256	5:29:01 PM	-0.0389
	6	1.5	0.5	2.3609	211.78	0.04997		0.018372	300	5:29:01 PM	-0.0402
	7	1.75	0.5	1.0318	484.6	0.04997		0.018372	344	5:29:01 PM	-0.0421
	8	2	0.5	1.0949	456.66	0.04997		0.018372	365	5:29:02 PM	-0.0442
	9	2.25	0.5	2.0266	246.72	0.04997		0.018372	406	5:29:02 PM	-0.044
	10	2.5	0.5	1.24	403.24	0.04997		0.018372	449	5:29:02 PM	-0.0447
	11	2.75	0.5	1.2518	399.41	0.04997		0.018372	480	5:29:02 PM	-0.0445
	12	3	0.5	1.1542	433.21	0.04997		0.018372	511	5:29:03 PM	-0.0446
	13	3.25	0.5	1.6159	309.42	0.04997		0.018372	548	5:29:03 PM	-0.0451
	14	3.5	0.5	1.4469	345.57	0.04997		0.018372	584	5:29:03 PM	-0.045
	15	3.75	0.5	0.97784	511.33	0.04997		0.018372	617	5:29:03 PM	-0.0447
	16	4	0.5	1.0531	474.8	0.04997		0.018372	640	5:29:04 PM	-0.0452
	17	4.25	0.5	1.0697	467.41	0.04997		0.018372	667	5:29:04 PM	-0.0447
	18	4.5	0.5	1.3957	358.25	0.04997		0.018372	695	5:29:04 PM	-0.0443
	19	4.75	0.5	1.6308	306.6	0.04997		0.018372	735	5:29:04 PM	-0.0446
	20	5	0.5	1.2996	384.74	0.04997		0.018372	770	5:29:05 PM	-0.0452
	21	5.25	0.5	1.8984	263.37	0.04997		0.018372	810	5:29:05 PM	-0.0453
	22	5.5	0.5	1.7485	285.95	0.04997		0.018372	855	5:29:05 PM	-0.0452
	23	5.75	0.5	2.616	191.13	0.04997		0.018372	905	5:29:05 PM	-0.0461
	24	6	0.5	2.7826	179.69	0.04997		0.018372	977	5:29:06 PM	-0.0456
	25	6.25	0.5	3.2574	153.5	0.04997		0.018372	1.05E+03	5:29:06 PM	-0.0451
	26	6.5	0.5	3.0093	166.15	0.04997		0.018372	1.14E+03	5:29:06 PM	-0.0452
	27	6.75	0.5	2.5227	198.2	0.04997		0.018372	1.2E+03	5:29:06 PM	-0.0461
	28	7	0.5	3.5002	142.85	0.04997		0.018372	1.27E+03	5:29:07 PM	-0.0464
	29	7.25	0.5	3.9601	126.26	0.04997		0.018372	1.37E+03	5:29:07 PM	-0.0462
	30	7.5	0.5	5.391	92.748	0.04997		0.018372	1.48E+03	5:29:07 PM	-0.0471
	31	7.75	0.5	5.5732	89.716	0.04997		0.018372	1.62E+03	5:29:07 PM	-0.047
	32	8	0.5	3.1517	158.65	0.04997		0.018372	1.74E+03	5:29:08 PM	-0.0442
	33	8.25	0.5	3.2932	151.83	0.04997		0.018372	1.81E+03	5:29:08 PM	-0.0426
	34	8.5	0.5	5.6636	88.283	0.04997		0.018372	1.93E+03	5:29:08 PM	-0.0451
	35	8.75	0.5	6.0556	82.568	0.04997		0.018372	2.07E+03	5:29:08 PM	-0.0458
	36	9	0.5	5.2539	95.168	0.04997		0.018372	2.22E+03	5:29:09 PM	-0.0446
	37	9.25	0.5	5.703	87.673	0.04997		0.018372	2.35E+03	5:29:09 PM	-0.0462
	38	9.5	0.5	0.030403	16446	0.04997		0.018372	2.41E+03	5:29:09 PM	-0.0438
	39	9.75	0.5	0.0077919	64169	0.04997		0.018372	2.41E+03	5:29:09 PM	-0.0445
	40	10	0.5	0.0055614	89905	0.04997		0.018372	2.41E+03	5:29:10 PM	-0.0445
	41	10.25	0.5	-0.0002648	-1.8882E+06	0.04997		0.018372	2.41E+03	5:29:10 PM	-0.0447
	42	10.5	0.5	0.0044321	1.1281E+05	0.04997		0.018372	2.41E+03	5:29:10 PM	-0.0443
	43	10.75	0.5	0.0059613	83874	0.04997		0.018372	2.41E+03	5:29:10 PM	-0.0442
	44	11	0.5	0.0020237	2.4707E+05	0.04997		0.018372	2.41E+03	5:29:11 PM	-0.0446
	45	11.25	0.5	0.0026766	1.868E+05	0.04997		0.018372	2.41E+03	5:29:11 PM	-0.0442
	46	11.5	0.5	0.0054145	92344	0.04997		0.018372	2.41E+03	5:29:11 PM	-0.0439
	47	11.75	0.5	-0.0014348	-3.4847E+05	0.04997		0.018372	2.41E+03	5:29:11 PM	-0.0442
	48	12	0.5	0.0022041	2.2685E+05	0.04997		0.018372	2.41E+03	5:29:12 PM	-0.0428
	49	12.25	0.5	0.0027923	1.7906E+05	0.04997		0.018372	2.41E+03	5:29:12 PM	-0.0439
	50	12.5	0.5	-0.00026542	-1.8838E+06	0.04997		0.018372	2.41E+03	5:29:12 PM	-0.0441
	51	12.75	0.5	0.0004495	1.1123E+06	0.04997		0.018372	2.41E+03	5:29:12 PM	-0.0429
	52	13	0.5	0.0010505	4.7597E+05	0.04997		0.018372	2.41E+03	5:29:13 PM	-0.0435
	53	13.25	0.5	-0.002454	-2.0375E+05	0.04997		0.018372	2.41E+03	5:29:13 PM	-0.0445
	54	13.5	0.5	-0.0017592	-2.8421E+05	0.04997		0.018372	2.41E+03	5:29:13 PM	-0.0451
	55	13.75	0.5	0.0016217	3.0831E+05	0.04997		0.018372	2.41E+03	5:29:13 PM	-0.0447
	56	14	0.5	0.0025502	1.9606E+05	0.04997		0.018372	2.41E+03	5:29:14 PM	-0.0446
	57	14.25	0.5	0.00099619	5.0191E+05	0.04997		0.018372	2.41E+03	5:29:14 PM	-0.0449
	58	14.5	0.5	0.0048782	1.025E+05	0.04997		0.018372	2.41E+03	5:29:14 PM	-0.0446
	59	14.75	0.5	0.0032927	1.5185E+05	0.04997		0.018372	2.41E+03	5:29:14 PM	-0.0429
	60	15	0.5	0.0032819	1.5235E+05	0.04997		0.018372	2.41E+03	5:29:15 PM	-0.0446
	61	15.25	0.5	0.00073728	6.7817E+05	0.04997		0.018372	2.41E+03	5:29:15 PM	-0.0436
	62	15.5	0.5	-0.0023292	-2.1467E+05	0.04997		0.018372	2.41E+03	5:29:15 PM	-0.0438
	63	15.75	0.5	0.00061652	8.1101E+05	0.04997		0.018372	2.41E+03	5:29:15 PM	-0.0445
	64	16	0.5	0.00057803	8.6501E+05	0.04997		0.018372	2.41E+03	5:29:16 PM	-0.0439
	65	16.25	0.5	-0.0032754	-1.5265E+05	0.04997		0.018372	2.41E+03	5:29:16 PM	-0.0437
	66	16.5	0.5	-0.0018691	-2.6751E+05	0.04997		0.018372	2.41E+03	5:29:16 PM	-0.0435
	67	16.75	0.5	5.9915E-05	8.3452E+06	0.04997		0.018372	2.41E+03	5:29:16 PM	-0.0451
	68	17	0.5	-0.0037764	-1.324E+05	0.04997		0.018372	2.41E+03	5:29:17 PM	-0.0438
	69	17.25	0.5	0.0047282	1.0575E+05	0.04997		0.018372	2.41E+03	5:29:17 PM	-0.0442
	70	17.5	0.5	0.0022072	2.2653E+05	0.04997		0.018372	2.41E+03	5:29:17 PM	-0.0443
	71	17.75	0.5	-0.0039254	-1.2738E+05	0.04997		0.018372	2.41E+03	5:29:17 PM	-0.0445
	72	18	0.5	0.0024919	2.0065E+05	0.04997		0.018372	2.41E+03	5:29:18 PM	-0.045
	73	18.25	0.5	0.00136	3.6764E+05	0.04997		0.018372	2.41E+03	5:29:18 PM	-0.0435
	74	18.5	0.5	-0.0015615	-3.2021E+05	0.04997		0.018372	2.41E+03	5:29:18 PM	-0.044
	75	18.75	0.5	0.003822	1.3082E+05	0.04997		0.018372	2.41E+03	5:29:18 PM	-0.0432
	76	19	0.5	-0.00040139	-1.2457E+06	0.04997		0.018372	2.41E+03	5:29:19 PM	-0.0434
	77	19.25	0.5	-0.0033608	-1.4878E+05	0.04997		0.018372	2.41E+03	5:29:19 PM	-0.0439
	78	19.5	0.5	0.0012955	3.8597E+05	0.04997		0.018372	2.41E+03	5:29:19 PM	-0.0444
	79	19.75	0.5	0.00037376	1.3377E+06	0.04997		0.018372	2.41E+03	5:29:19 PM	-0.044
	80	20	0.5	-0.0061692	-81048	0.04997		0.018372	2.41E+03	5:29:20 PM	-0.0433
	81	20.25	0.5	0.0018663	2.6791E+05	0.04997		0.018372	2.41E+03	5:29:20 PM	-0.0441
	82	20.5	0.5	0.0017006	2.9402E+05	0.04997		0.018372	2.41E+03	5:29:20 PM	-0.0439
	83	20.75	0.5	-0.0024708	-2.0237E+05	0.04997		0.018372	2.41E+03	5:29:20 PM	-0.0446
	84	21	0.5	-0.0015711	-3.1825E+05	0.04997		0.018372	2.41E+03	5:29:21 PM	-0.0445
	85	21.25	0.5	0.0039952	1.2515E+05	0.04997		0.018372	2.41E+03	5:29:21 PM	-0.0428
	86	21.5	0.5	0.001604	3.1172E+05	0.04997		0.018372	2.41E+03	5:29:21 PM	-0.0435
	87	21.75	0.5	-0.00053115	-9.4135E+05	0.04997		0.018372	2.41E+03	5:29:21 PM	-0.0431
	88	22	0.5	0.002454	2.0375E+05	0.04997		0.018372	2.41E+03	5:29:22 PM	-0.0437
	89	22.25	0.5	0.00087633	5.7056E+05	0.04997		0.018372	2.41E+03	5:29:22 PM	-0.0429
	90	22.5	0.5	0.00022785	2.1944E+06	0.04997		0.018372	2.41E+03	5:29:22 PM	-0.0428
	91	22.75	0.5	0.0026176	1.9101E+05	0.04997		0.018372	2.41E+03	5:29:22 PM	-0.0429
	92	23	0.5	-0.0032328	-1.5466E+05	0.04997		0.018372	2.41E+03	5:29:23 PM	-0.043
	93	23.25	0.5	-0.0032555	-1.5358E+05	0.04997		0.018372	2.41E+03	5:29:23 PM	-0.0443
	94	23.5	0.5	0.000723	6.9156E+05	0.04997		0.018372	2.41E+03	5:29:23 PM	-0.0434
	95	23.75	0.5	0.001558	3.2091E+05	0.04997		0.018372	2.41E+03	5:29:23 PM	-0.0438
	96	24	0.5	0.0018775	2.6631E+05	0.04997		0.018372	2.41E+03	5:29:24 PM	-0.0436
	97	24.25	0.5	0.0025744	1.9422E+05	0.04997		0.018372	2.41E+03	5:29:24 PM	-0.0441
	98	24.5	0.5	-0.00040728	-1.2276E+06	0.04997		0.018372	2.41E+03	5:29:24 PM	-0.044
	99	24.75	0.5	0.004216	1.186E+05	0.04997		0.018372	2.41E+03	5:29:24 PM	-0.0434
	100	25	0.5	0.00089435	5.5907E+05	0.04997		0.018372	2.41E+03	5:29:25 PM	-0.0438
	101	25.25	0.5	0.0011421	4.378E+05	0.04997		0.018372	2.41E+03	5:29:25 PM	-0.0433
	102	25.5	0.5	0.004859	1.029E+05	0.04997		0.018372	2.41E+03	5:29:25 PM	-0.0443
	103	25.75	0.5	-0.003109	-1.6082E+05	0.04997		0.018372	2.41E+03	5:29:25 PM	-0.0441
	104	26	0.5	0.0003871	1.2916E+06	0.04997		0.018372	2.41E+03	5:29:26 PM	-0.043
	105	26.25	0.5	0.0036484	1.3705E+05	0.04997		0.018372	2.41E+03	5:29:26 PM	-0.0429
	106	26.5	0.5	0.00045199	1.1062E+06	0.04997		0.018372	2.41E+03	5:29:26 PM	-0.0443
	107	26.75	0.5	-0.0011604	-4.3088E+05	0.04997		0.018372	2.41E+03	5:29:26 PM	-0.0441
	108	27	0.5	0.003353	1.4912E+05	0.04997		0.018372	2.41E+03	5:29:27 PM	-0.0442
	109	27.25	0.5	0.00026138	1.9129E+06	0.04997		0.018372	2.41E+03	5:29:27 PM	-0.0439
	110	27.5	0.5	1.9557E-05	2.5566E+07	0.04997		0.018372	2.41E+03	5:29:27 PM	-0.0435
	111	27.75	0.5	0.0035122	1.4236E+05	0.04997		0.018372	2.41E+03	5:29:27 PM	-0.0433
	112	28	0.5	0.00012262	4.0776E+06	0.04997		0.018372	2.41E+03	5:29:28 PM	-0.0442
	113	28.25	0.5	-0.0023524	-2.1254E+05	0.04997		0.018372	2.41E+03	5:29:28 PM	-0.0433
	114	28.5	0.5	-0.00082263	-6.078E+05	0.04997		0.018372	2.41E+03	5:29:28 PM	-0.0433
	115	28.75	0.5	0.0012777	3.9133E+05	0.04997		0.018372	2.41E+03	5:29:28 PM	-0.0423
	116	29	0.5	-0.0019722	-2.5352E+05	0.04997		0.018372	2.41E+03	5:29:29 PM	-0.0436
	117	29.25	0.5	-0.001482	-3.3738E+05	0.04997		0.018372	2.41E+03	5:29:29 PM	-0.0432
	118	29.5	0.5	0.001875	2.6667E+05	0.04997		0.018372	2.41E+03	5:29:29 PM	-0.0434
	119	29.75	0.5	-0.0034799	-1.4368E+05	0.04997		0.018372	2.41E+03	5:29:29 PM	-0.0436
	120	30	0.5	0.0022084	2.2641E+05	0.04997		0.018372	2.41E+03	5:29:30 PM	-0.0438
	121	30.25	0.5	-0.00041164	-1.2147E+06	0.04997		0.018372	2.41E+03	5:29:30 PM	-0.0443
	122	30.5	0.5	-0.00096235	-5.1956E+05	0.04997		0.018372	2.41E+03	5:29:30 PM	-0.0439
	123	30.75	0.5	0.0010387	4.8137E+05	0.04997		0.018372	2.41E+03	5:29:30 PM	-0.0431
	124	31	0.5	0.00188	2.6596E+05	0.04997		0.018372	2.41E+03	5:29:31 PM	-0.0432
	125	31.25	0.5	-0.00060533	-8.2599E+05	0.04997		0.018372	2.41E+03	5:29:31 PM	-0.0429
	126	31.5	0.5	2.5145E-05	1.9885E+07	0.04997		0.018372	2.41E+03	5:29:31 PM	-0.0429
	127	31.75	0.5	9.1578E-05	5.4598E+06	0.04997		0.018372	2.41E+03	5:29:31 PM	-0.0442
	128	32	0.5	-0.002869	-1.7428E+05	0.04997		0.018372	2.41E+03	5:29:32 PM	-0.0437
	129	32.25	0.5	0.0007205	6.9396E+05	0.04997		0.018372	2.41E+03	5:29:32 PM	-0.0437
	130	32.5	0.5	-0.0017083	-2.9269E+05	0.04997		0.018372	2.41E+03	5:29:32 PM	-0.0432
	131	32.75	0.5	-0.0014587	-3.4277E+05	0.04997		0.018372	2.41E+03	5:29:32 PM	-0.0428
	132	33	0.5	0.00044733	1.1177E+06	0.04997		0.018372	2.41E+03	5:29:33 PM	-0.0437
	133	33.25	0.5	-0.00054202	-9.2247E+05	0.04997		0.018372	2.41E+03	5:29:33 PM	-0.0441
	134	33.5	0.5	0.00059758	8.3671E+05	0.04997		0.018372	2.41E+03	5:29:33 PM	-0.0435
	135	33.75	0.5	-0.00062085	-8.0535E+05	0.04997		0.018372	2.41E+03	5:29:33 PM	-0.0426
	136	34	0.5	0.003344	1.4952E+05	0.04997		0.018372	2.41E+03	5:29:34 PM	-0.0429
	137	34.25	0.5	0.0011784	4.2431E+05	0.04997		0.018372	2.41E+03	5:29:34 PM	-0.042
	138	34.5	0.5	-0.0018886	-2.6474E+05	0.04997		0.018372	2.41E+03	5:29:34 PM	-0.0428
	139	34.75	0.5	-0.0014202	-3.5205E+05	0.04997		0.018372	2.41E+03	5:29:34 PM	-0.0436
	140	35	0.5	0.00026077	1.9174E+06	0.04997		0.018372	2.41E+03	5:29:35 PM	-0.0441
	141	35.25	0.5	0.0011027	4.5345E+05	0.04997		0.018372	2.41E+03	5:29:35 PM	-0.0439
	142	35.5	0.5	-0.0027321	-1.8301E+05	0.04997		0.018372	2.41E+03	5:29:35 PM	-0.0444
	143	35.75	0.5	-0.0011666	-4.2859E+05	0.04997		0.018372	2.41E+03	5:29:35 PM	-0.0443
	144	36	0.5	0.0027482	1.8193E+05	0.04997		0.018372	2.41E+03	5:29:36 PM	-0.0438
	145	36.25	0.5	-0.0022441	-2.228E+05	0.04997		0.018372	2.41E+03	5:29:36 PM	-0.0444
	146	36.5	0.5	-0.0042368	-1.1801E+05	0.04997		0.018372	2.41E+03	5:29:36 PM	-0.044
	147	36.75	0.5	0.0026821	1.8642E+05	0.04997		0.018372	2.41E+03	5:29:36 PM	-0.0438
	148	37	0.5	-0.0012846	-3.8923E+05	0.04997		0.018372	2.41E+03	5:29:37 PM	-0.044
	149	37.25	0.5	-0.0042719	-1.1704E+05	0.04997		0.018372	2.41E+03	5:29:37 PM	-0.0442
	150	37.5	0.5	0.001482	3.3738E+05	0.04997		0.018372	2.41E+03	5:29:37 PM	-0.0435
	151	37.75	0.5	-0.00042715	-1.1706E+06	0.04997		0.018372	2.41E+03	5:29:37 PM	-0.0434
	152	38	0.5	-0.0034691	-1.4413E+05	0.04997		0.018372	2.41E+03	5:29:38 PM	-0.0446
	153	38.25	0.5	0.0020067	2.4917E+05	0.04997		0.018372	2.41E+03	5:29:38 PM	-0.043
	154	38.5	0.5	0.00066371	7.5335E+05	0.04997		0.018372	2.41E+03	5:29:38 PM	-0.0429
	155	38.75	0.5	-0.0017201	-2.9068E+05	0.04997		0.018372	2.41E+03	5:29:38 PM	-0.044
	156	39	0.5	0.00028094	1.7797E+06	0.04997		0.018372	2.41E+03	5:29:39 PM	-0.0441
	157	39.25	0.5	0.0018486	2.7047E+05	0.04997		0.018372	2.41E+03	5:29:39 PM	-0.044
	158	39.5	0.5	-0.0033716	-1.483E+05	0.04997		0.018372	2.41E+03	5:29:39 PM	-0.044
	159	39.75	0.5	0.00090429	5.5292E+05	0.04997		0.018372	2.41E+03	5:29:39 PM	-0.0433
	160	40	0.5	0.0026567	1.882E+05	0.04997		0.018372	2.41E+03	5:29:40 PM	-0.0444
	161	40.25	0.5	0.0042818	1.1677E+05	0.04997		0.018372	2.41E+03	5:29:40 PM	-0.0436
	162	40.5	0.5	0.0040375	1.2384E+05	0.04997		0.018372	2.41E+03	5:29:40 PM	-0.0437
	163	40.75	0.5	0.0039021	1.2813E+05	0.04997		0.018372	2.41E+03	5:29:40 PM	-0.0437
	164	41	0.5	0.0019554	2.557E+05	0.04997		0.018372	2.41E+03	5:29:41 PM	-0.0439
	165	41.25	0.5	-0.0011076	-4.5141E+05	0.04997		0.018372	2.41E+03	5:29:41 PM	-0.0445
	166	41.5	0.5	0.00038773	1.2896E+06	0.04997		0.018372	2.41E+03	5:29:41 PM	-0.0438
	167	41.75	0.5	0.0015742	3.1763E+05	0.04997		0.018372	2.41E+03	5:29:41 PM	-0.0436
	168	42	0.5	0.0025983	1.9243E+05	0.04997		0.018372	2.41E+03	5:29:42 PM	-0.0437
	169	42.25	0.5	0.00044143	1.1327E+06	0.04997		0.018372	2.41E+03	5:29:42 PM	-0.0434
	170	42.5	0.5	-0.00020582	-2.4294E+06	0.04997		0.018372	2.41E+03	5:29:42 PM	-0.0436
	171	42.75	0.5	0.0044444	1.125E+05	0.04997		0.018372	2.41E+03	5:29:42 PM	-0.0435
	172	43	0.5	-1.7384E-05	-2.8762E+07	0.04997		0.018372	2.41E+03	5:29:43 PM	-0.0442
	173	43.25	0.5	0.0002381	2.0999E+06	0.04997		0.018372	2.41E+03	5:29:43 PM	-0.0438
	174	43.5	0.5	0.0023785	2.1022E+05	0.04997		0.018372	2.41E+03	5:29:43 PM	-0.0436
	175	43.75	0.5	-0.0014718	-3.3973E+05	0.04997		0.018372	2.41E+03	5:29:43 PM	-0.0444
	176	44	0.5	-0.0013308	-3.7571E+05	0.04997		0.018372	2.41E+03	5:29:44 PM	-0.0436
	177	44.25	0.5	0.0021699	2.3042E+05	0.04997		0.018372	2.41E+03	5:29:44 PM	-0.0427
	178	44.5	0.5	-0.0024486	-2.042E+05	0.04997		0.018372	2.41E+03	5:29:44 PM	-0.0424
	179	44.75	0.5	-0.0035519	-1.4077E+05	0.04997		0.018372	2.41E+03	5:29:44 PM	-0.0434
	180	45	0.5	0.0028795	1.7364E+05	0.04997		0.018372	2.41E+03	5:29:45 PM	-0.043
	181	45.25	0.5	-0.00076459	-6.5394E+05	0.04997		0.018372	2.41E+03	5:29:45 PM	-0.0434
	182	45.5	0.5	-0.0033772	-1.4805E+05	0.04997		0.018372	2.41E+03	5:29:45 PM	-0.0438
	183	45.75	0.5	0.00012107	4.13E+06	0.04997		0.018372	2.41E+03	5:29:45 PM	-0.0431
